mechanism,method,missing_rate,mean,mean_bias,variance,variance_bias,variance_ratio,cov_income_spending,cov_bias,corr_income_spending,corr_bias,rmse_on_missing_cells
MCAR,Unconditional mean,0.356,70967.67802,-173.5059957,354895263,-193973739.6,0.646593743,217651069.4,-118603659.5,0.708024457,-0.171547965,23341.92888
MCAR,Conditional mean anchors,0.356,70980.86451,-160.3195078,501858343.7,-47010658.85,0.914349948,302976382,-33278346.86,0.828811476,-0.050760945,12333.94787
MAR,Unconditional mean,0.3492,75470.6721,4329.488084,319209758.2,-229659244.4,0.58157731,192972101.3,-143282627.5,0.66190247,-0.217669951,26668.69513
MAR,Conditional mean anchors,0.3492,71835.24453,694.0605184,488402632.8,-60466369.8,0.889834606,298351961.6,-37902767.25,0.827327489,-0.052244932,12615.30757
